TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG ESM,ACWG TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
444413256,3989.01,,3,4,3,3,3,4,4,56.6,303.9,1,1,1,PC,PC,11.9551,0.026,,1,qlp,00:25:32.76,63:02:26.29,-3.39,0.039,-0.993,0.037,2458975.278323,0.0020732,4.0104204,0.0000643,2.39,0.233,5.496859,0.005832,5050,5.3711,,,5608.79,2410,22,2949.29,247.26,12373,141,,,,,,,,,"17,18,24",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
420446142,3990.01,,5,5,5,5,5,5,5,17.5,26.7,0,0,0,PC,FP,11.6697,0.011,,1,qlp,00:20:28.16,63:01:53.03,-3.36,0.042,-1.62,0.033,2458980.604616,0.0060477,5.8423636,0.0002217,2.416,0.419,2.478305,0.007578,2280,6.97953,18.7395,1.43879,716.73,1441,10,1552.26,58.935,8648,158.4,3.6,.08,3.85,.19,,,2.16,.333123,"17,18,24",2021-06-23,2021-06-23,2021-08-19 00:00:00,"V-shaped found in faint-star QLP search"
418133917,3991.01,,3,4,3,3,1,4,4,28.3,15.4,0,0,0,PC,PC,12.1197,0.016,,1,qlp,00:00:48.58,62:48:10.96,6.569,0.044,-2.549,0.042,2458981.868452,0.0070242,2.2774846,0.0001184,3.756,0.592,1.651575,0.004339,1520,3.99662,17.7506,,1146.77,1621,12,1089.93,37.43,4827,122,,,4.7,,,,,,"17,18,24",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
403347341,3992.01,,3,4,3,3,3,4,4,28.6,37.4,1,0,1,PC,PC,12.4316,0.006,,1,qlp,00:22:30.1,57:52:23.79,-9.079,2.091,-7.725,2.091,2458971.988273,0.0024158,6.3979511,0.0001017,2.438,0.296,9.060165,2.005784,8310,1845.69,,,233.833,1089,24,673.065,,5324,314,,,,,,,,,"17,18,24",2021-06-23,2021-06-23,2021-08-19 00:00:00,"V-shaped; found in faint-star QLP search"
403340402,3993.01,,3,4,3,3,3,4,4,33,95.9,0,1,1,PC,PC,11.5625,0.006,,1,qlp,00:21:45.12,59:06:20.72,-2.415,1.319,-1.114,1.319,2458980.217286,0.0035751,2.2231733,0.000044,1.734,0.271,4.558792,0.010062,4190,9.26765,9.78153,,744.626,,16,457.461,,6424,,,,1.44,,,,,,"17,18,24",2021-06-23,2021-06-23,2021-08-19 00:00:00,"V-shaped; found in faint-star QLP search"
372505528,3994.01,,3,4,3,3,3,4,4,13.9,57.3,0,0,1,PC,PC,11.0986,0.006,,1,qlp,00:24:33.65,62:14:08.27,-8.743,0.043,0.395,0.042,2458977.165523,0.0028761,3.8974136,0.0000779,2.061,0.378,2.162768,0.003493,1990,3.21743,6.8757,.423689,504.623,1320,19,400.234,5.4845,6827,188.2,4.25,.09,1.51,.07,,,1.473,.251343,"17,18,24",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
347210614,3995.01,,3,5,5,3,3,4,4,78.9,190.1,0,2,1,PC,APC,12.1602,0.006,,1,qlp,00:06:22.91,56:11:32.8,2.398,1.677,-5.272,1.677,2458971.611553,0.0009892,6.4219427,0.0000572,4.238,0.187,22.99891,0.033999,20960,31.314,,,771.109,1468,81,741.884,,6197,487.1,,,,,,,,,"17,24",2021-06-23,2021-06-23,2021-09-12 12:01:40,"found in faint-star QLP search"
347011522,3996.01,,3,4,3,3,3,4,4,8.6,63.9,0,2,1,PC,PC,12.0205,0.013,,1,qlp,00:04:44.81,54:11:48.05,-5.079,0.049,-8.636,0.041,2458973.929734,0.0068966,17.2045725,0.0008618,4.987,0.656,4.100961,2.14002,3770,1969.09,21.5086,8.69046,434.974,1272,11,659.762,14.4015,6278,139,4.03,.09,1.77,.08,,,1.23,.171578,"17,24",2021-06-23,2021-06-23,2021-08-19 00:00:00,"V-shaped; found in faint-star QLP search"
327004130,3997.01,,3,4,4,3,1,4,4,25,66,2,0,0,PC,PC,12.9854,0.022,,1,qlp,00:13:34.28,59:53:47.52,-6.894,0.03,-2.069,0.024,2458980.915963,0.0018255,3.4599275,0.0000556,1.326,0.254,7.692484,0.022237,7060,20.4806,12.4969,.917513,138.213,955,15,654.004,8.166,5997,191.2,4.21,.08,1.37,.07,,,1.11,.151736,"17,18,24",2021-06-23,2021-06-23,2021-10-10 00:00:00,"found in faint-star QLP search"
320281287,3998.01,,3,4,3,3,1,4,4,87.1,74.7,2,2,0,PC,PC,12.1134,0.006,,1,qlp,00:30:32.88,56:19:53.28,40.387,0.042,-3.846,0.041,2458980.38827,0.0006786,1.8144993,0.0000082,2.064,0.23,14.537179,0.01048,13300,9.65272,14.4323,.848094,1568.49,1753,78,399.813,5.5985,5696,148.9,4.31,.08,1.17,.06,,,1.014,.12664,"17,18,24",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
284528889,3999.01,,3,4,3,3,3,4,4,18.7,39.2,0,2,1,PC,PC,11.6437,0.042,,1,qlp,00:39:46.92,62:23:36.09,33.535,0.045,-8.554,0.042,2458981.890738,0.0046321,4.112385,0.0001344,3.474,0.666,2.293324,0.005233,2110,4.81944,9.65749,.752702,570.966,1361,16,525.173,8.3505,5659,262.1,3.78,.09,2.14,.12,,,1,.143718,"17,18,24",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
283015592,4000.01,,3,4,3,3,3,4,4,54.1,77.6,0,0,1,PC,PC,12.5696,0.024,,1,qlp,00:03:53.91,64:46:34.75,-2.869,0.033,-1.98,0.028,2458976.490639,0.0020463,3.702766,0.0000515,3.56,0.193,12.250817,0.005618,11220,5.17456,20.3427,.888135,1798.03,1814,31,878.067,15.691,7493,216.7,4.12,.08,1.9,.07,,,1.73,.284007,"17,18,24",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
83148519,4001.01,,3,4,3,3,3,4,4,8.3,42.1,0,2,1,PC,PC,11.7194,0.006,,1,qlp,00:10:06.95,64:34:21.24,38.466,0.046,-7.044,0.039,2458973.570023,0.0036186,4.8983933,0.0001268,2.734,0.305,2.315085,0.003384,2130,3.11638,5.11295,.342074,240.249,1096,14,315.572,2.672,5696,459.4,4.37,.13,1.09,.06,,,1.014,.234312,"17,18,24",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
83053699,4002.01,,3,4,3,3,1,4,4,35.7,37.2,0,0,0,PC,PC,12.9214,0.009,,1,qlp,00:09:20.53,60:09:32.68,0.806,0.024,-4.529,0.024,2458981.831744,0.0040736,3.3379425,0.0000987,3.267,0.686,7.845579,0.018964,7200,17.4662,18.493,1.35422,1220.48,1646,16,1083.39,21.485,6274,135,3.86,.09,2.15,.11,,,1.22,.179127,"17,18,24",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
399346877,4003.01,TIC 399346877.01,3,4,3,3,1,4,4,19.9,52.9,0,0,0,PC,PC,12.9762,0.014,,1,qlp,01:45:50.94,63:55:28.98,6.212,0.02,4.976,0.025,2459001.943405,0.0021999,3.9606964,0.0000798,3.359,0.27,6.402972,0.004987,5880,4.59316,10.6181,.568671,936.267,1541,14,626.396,6.7525,6647,146.7,4.29,.1,1.4,.06,,,1.4,.249422,"18,24,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search; CTOI from Olmschenk et al. (2021)"
397924314,4004.01,,3,4,3,3,1,4,4,27.6,68.4,0,0,0,PC,PC,12.849,0.006,,1,qlp,01:31:53.64,66:49:09.6,-7.573,2.232,8.172,2.232,2459000.585627,0.0020298,5.3797781,0.0000962,2.884,0.259,10.484383,0.008693,9610,8.00667,7.2858,.451776,109.947,902,20,515.607,,4930.3,133.5,,,.76,.04,,,,,"18,24,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
395773226,4005.01,,5,5,5,5,5,5,5,14.5,41.5,0,0,0,PC,FP,11.7899,0.006,,1,qlp,02:16:28.78,76:15:11.45,8.866,0.043,-49.591,0.062,2459008.270987,0.0056147,3.8471662,0.0001144,2.214,0.422,1.923456,0.006966,1770,6.4163,7.48475,.678934,173.747,1011,11,329.268,3.4895,5115,159.8,3.91,.09,1.69,.11,,,.86,.102923,"18,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
390048041,4006.01,,5,5,5,5,5,5,5,72.9,170.5,0,0,0,PC,FA,12.715,0.018,,1,qlp,01:35:46.46,65:38:19.63,-10.022,2.187,3.159,2.187,2459006.783724,0.002857,3.0493598,0.000081,3.538,0.416,4.624212,0.004821,4250,4.44061,,,430.674,1269,16,,,4579.5,433.4,,,,,,,,,"18,24,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
389910188,4007.01,,3,4,3,3,1,4,4,37.5,119,0,0,0,PC,PC,12.4705,0.006,,1,qlp,01:34:37.36,62:19:31.86,5.9,0.027,-2.89,0.032,2459001.875355,0.0013616,4.543204,0.0000482,3.731,0.142,13.448358,0.00472,12310,4.34745,12.9806,.538789,1680.11,1783,37,511.571,6.42,7998,592.7,4.6,.1,1.16,.04,,,1.929,.390565,"18,24,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
379629854,4008.01,,3,4,3,3,1,4,4,7.9,39.6,0,2,0,PC,PC,10.702,0.006,,1,qlp,02:17:10.53,70:23:45.53,13.076,0.038,-7.418,0.045,2459008.075403,0.0074598,2.8277716,0.0001299,2.091,0.463,0.749417,0.003806,690,3.50566,4.42229,.395604,839.663,1499,9,311.774,2.6125,6603,501.3,4.16,.12,1.62,.08,,,1.379,.292712,"18,19,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
368734712,4009.01,,3,4,3,3,1,4,4,29,25.6,0,2,0,PC,PC,12.1693,0.014,,1,qlp,00:51:07.18,70:56:44.92,8.988,0.039,-3.905,0.035,2459008.328175,0.0019637,4.3270884,0.0000715,2.348,0.479,5.63873,0.008216,5180,7.56739,14.2796,.905382,368.756,1220,26,670.801,10.726,5994,151.8,3.92,.08,1.91,.09,,,1.1,.147008,"18,24,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
352682207,4010.01,,3,4,3,3,2,4,4,16.3,75.6,8,1,1,PC,PC,11.5163,0.006,,1,qlp,01:20:51.56,66:04:19.92,38.616,0.038,-20.377,0.045,2459000.047133,0.0022257,5.4135985,0.0004177,2.715,0.329,5.04954,0.005433,4640,5.00436,6.12246,.452762,102.009,885,20,177.504,.988,4888,137.7,4.45,.09,.88,.06,,,.799,.0969893,"24,25",2021-06-23,2021-07-06,2021-10-10 00:00:00,"found in faint-star QLP search; part of multi-planet system"
352682207,4010.02,,3,4,3,3,2,4,4,7.2,57.4,8,1,1,PC,PC,11.5163,0.006,,2,qlp,01:20:51.56,66:04:19.92,38.616,0.038,-20.377,0.045,2458985.976299,0.0034185,14.6866837,0.0025285,4.116,1.146,5.104081,0.01763,4690,16.2381,6.39639,.569885,45.4475,723,17,177.504,.988,4888,137.7,4.45,.09,.88,.06,,,.799,.0969893,"24,25",2021-06-23,2021-07-06,2021-10-10 00:00:00,"found in faint-star QLP search; part of multi-planet system"
352682207,4010.03,,2,4,2,2,2,4,4,10.1,60.3,8,1,1,PC,PC,11.5163,0.006,,3,qlp,01:20:51.56,66:04:19.92,38.616,0.038,-20.377,0.045,2459007.533082,0.0093051,1.3479994,0.0003669,1.213,0.551,1.281925,0.037561,1180,34.5943,3.31744,.608872,390.264,1238,8,177.504,.988,4888,137.7,4.45,.09,.88,.06,,,.799,.0969893,"24,25",2021-07-08,2021-07-08,2021-10-10 00:00:00,"Found independently by A. Vanderburg + QLP faint-star search"
289264348,4011.01,,3,4,3,3,1,4,4,27.4,23.4,0,0,0,PC,PC,13.2395,0.013,,1,qlp,01:38:24.24,72:59:35.41,-15.533,0.029,3.866,0.032,2459002.918766,0.0043873,4.3360232,0.0001218,3.394,0.372,9.82682,0.013623,9010,12.5472,14.4394,,447.437,1281,16,764.591,11.5355,5815,122,4.1,,1.51,,,,1.05,,"18,19,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
280315875,4012.01,,3,4,3,3,1,4,4,75.5,138.8,1,0,0,PC,PC,13.3507,0.006,,1,qlp,02:45:35.72,66:21:33.23,-16.957,0.022,-22.559,0.033,2459008.739016,0.0009535,1.8254385,0.000011,1.77,0.096,23.342749,0.012278,21270,11.3085,11.6945,,186.22,1029,37,245.737,1.357,4324,122,4.49,,.77,,,,.676,,"18,19,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
279265701,4013.01,,3,4,3,3,1,4,4,27,16.5,0,0,0,PC,PC,13.0217,0.009,,1,qlp,01:43:09.87,70:54:51.93,3.42,0.028,-5.921,0.029,2459009.100237,0.0033056,2.6324434,0.0000858,4.036,0.405,4.090062,0.005106,3760,4.70317,14.7429,,1432.03,1713,10,851.105,12.5925,5407,122,3.64,,2.42,,,,.94,,"18,19,24,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
85791385,4014.01,,3,4,3,3,1,4,4,43.1,107.9,0,0,0,PC,PC,13.4891,0.02,,1,qlp,03:52:49.12,68:46:38.88,-3.418,0.022,1.313,0.029,2459003.421541,0.0018679,2.8048958,0.0005646,2.003,0.34,18.748755,0.044025,17120,40.5477,13.8025,,395.734,1242,17,562.401,5.8965,5863,122,4.48,,.98,,,,1.06,,"25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
